Course,Subject,Group,Time,Day,Room
ARTIFICIAL INTELLIGENCE,CAPSTONE ,A,12:00 PM - 2:00 PM,MONDAY,M - 111
ARTIFICIAL INTELLIGENCE,CONSULTING AND PROFESSIONAL COMMUNICATION,A,9:00 AM - 11:00 AM,MONDAY,M - 117
ARTIFICIAL INTELLIGENCE,ENTERPRISE SYSTEM,A,11:00 AM - 1:00 PM,THURSDAY,M - 122
ARTIFICIAL INTELLIGENCE,APPLIED MACHINE LEARNING,A,8:00 AM - 10:00 AM,TUESDAY,K -201
ARTIFICIAL INTELLIGENCE,CAREER OF DIGITAL AND PORFOLIO,A,11:00 AM - 1:00 PM,TUESDAY,M - 114
ARTIFICIAL INTELLIGENCE,EXPERT SYSTEM,A,4:00 PM - 7:00 PM,WEDNESDAY,M - 123
ARTIFICIAL INTELLIGENCE,ENTERPRISE SYSTEM,B,8:00 AM - 10:00 AM,FRIDAY,M - 120
ARTIFICIAL INTELLIGENCE,CAPSTONE ,B,9:00 AM - 11:00 AM,MONDAY,M - 112
ARTIFICIAL INTELLIGENCE,CONSULTING AND PROFESSIONAL COMMUNICATION,B,1:00 PM - 3:00 PM,MONDAY,M - 118
ARTIFICIAL INTELLIGENCE,APPLIED MACHINE LEARNING,B,11:00 AM - 1:00 PM,TUESDAY,M - 33
ARTIFICIAL INTELLIGENCE,CAREER OF DIGITAL AND PORFOLIO,B,8:00 AM - 10:00 AM,TUESDAY,M - 115
ARTIFICIAL INTELLIGENCE,EXPERT SYSTEM,B,1:00 PM - 4:00 PM,WEDNESDAY,M - 124
ARTIFICIAL INTELLIGENCE,ENTERPRISE SYSTEM,C,10:00 AM - 12:00 PM,FRIDAY,M - 121
ARTIFICIAL INTELLIGENCE,CAPSTONE ,C,11:00 AM - 1:00 PM,MONDAY,M - 113
ARTIFICIAL INTELLIGENCE,CONSULTING AND PROFESSIONAL COMMUNICATION,C,11:00 AM - 1:00 PM,MONDAY,M - 119
ARTIFICIAL INTELLIGENCE,APPLIED MACHINE LEARNING,C,10:00 AM - 12:00 PM,TUESDAY,J - 211
ARTIFICIAL INTELLIGENCE,CAREER OF DIGITAL AND PORFOLIO,C,10:00 AM - 12:00 AM,TUESDAY,M - 116
ARTIFICIAL INTELLIGENCE,EXPERT SYSTEM,C,3:00 PM - 7:00 PM,WEDNESDAY,M - 125
BIG DATA ANALYSIS,DATA VISULIZATION,A,12:00 AM - 2:00 PM,MONDAY,A - 104
BIG DATA ANALYSIS,DATA ARCHITECTURE,B,11:00 AM - 1:00 PM,MONDAY,M - 113
BIG DATA ANALYSIS,INFORMATION ENCODING SYSTEM,C,11:00 AM - 1:00 PM,MONDAY,M - 119
BIG DATA ANALYSIS,DATA PROGRAMING,B,10:00 AM - 12:00 PM,TUESDAY,J - 211
